Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"Titan World Chennai, Tamil Nadu",13.0334144,80.1609204,Watch store,4.8,12000,"Chennai, Tamil Nadu",086577 85296,
"Madurai Famous Jigarthanda Chennai, Tamil Nadu",13.0843007,80.2704622,Auto parts store,,,"Chennai, Tamil Nadu",,
"Sundaram Stores Sriperumbudur, Tamil Nadu",12.9491827,79.942985,Store,4.2,5,"Sriperumbudur, Tamil Nadu",,Delivery
"Sriram & Co. Chennai, Tamil Nadu",12.9267014,80.1172594,Stationery store,4.2,1800,"Chennai, Tamil Nadu",081246 24060,
"Chocomans Chennai, Tamil Nadu",13.0843007,80.2704622,Cake shop,4.3,591,"Chennai, Tamil Nadu",072999 24242,
"Priya Enterprises Chennai, Tamil Nadu",12.9125161,80.1439122,Stationery store,4.1,1200,"Chennai, Tamil Nadu",094440 81317,Delivery
"Aladipattiyan Karupatti Coffee - Padappai Pushpagiri, Tamil Nadu",12.8923826,80.0415527,Coffee shop,4.3,603,"Pushpagiri, Tamil Nadu",,"Dine-in,Takeaway"
"Shri Iyyan Sweets and Bakery Chengalpattu, Tamil Nadu",12.6937606,79.9791209,Bakery and Cake Shop,4.1,524,"Chengalpattu, Tamil Nadu",,
"Chillax bakery, Tambaram Corporation Mudichur, Tamil Nadu",12.9156778,80.0763877,Bakery and Cake Shop,4.2,820,"Mudichur, Tamil Nadu",,Delivery
"SATHYA DEPARTMENTAL STORES Thathaiyangarpet, Tamil Nadu",11.1213215,78.44881,Grocery store,4.2,49,"Thathaiyangarpet, Tamil Nadu",098949 65045,"In-store shopping,Delivery"
"NAZA Boutique Chennai, Tamil Nadu",12.9584076,80.1437875,Clothing store,4.3,119,"Chennai, Tamil Nadu",098401 19159,Delivery
"Nilgiri's Chennai, Tamil Nadu",12.843314,80.227142,Supermarket,4,589,"Chennai, Tamil Nadu",,"In-store pick-up,Delivery"
"DailyPick Supermarket Kattankulathur, Tamil Nadu",12.8084098,80.0358119,Grocery store,4.6,27,"Kattankulathur, Tamil Nadu",072730 05004,
"Guna Sukku Coffee Center Manampathy, Tamil Nadu",12.6562349,80.1177491,Cafe,4.5,455,"Manampathy, Tamil Nadu",,
"Easy 2 Wear Chennai, Tamil Nadu",13.0612135,80.246769,Plus Size Clothing Store,4.2,782,"Chennai, Tamil Nadu",090422 92098,"In-store shopping,In-store pick-up"
"Kodai Chocolate Factory Kodaikanal, Tamil Nadu",10.2190392,77.4783102,Chocolate factory,4.1,539,"Kodaikanal, Tamil Nadu",098421 98894,
"Aruna Stores Chennai, Tamil Nadu",13.0843007,80.2704622,Grocery store,3.2,22,"Chennai, Tamil Nadu",,Delivery
"Royaloak Furniture Velachery Chennai, Tamil Nadu",12.9549315,80.2122048,Furniture store,4.2,3100,"Chennai, Tamil Nadu",063665 31938,"In-store shopping,In-store pick-up"
"Monicaa Aquarium Chennai, Tamil Nadu",12.9214579,80.1435031,Pet store,4.2,624,"Chennai, Tamil Nadu",098402 65824,Delivery
"Senthil Sweet Chennai, Adhanur, Tamil Nadu",12.8696375,80.0585156,Indian sweets shop,3.9,68,"Chennai, Adhanur, Tamil Nadu",,
"Blossom Fancy Costumes Chennai, Tamil Nadu",12.9141422,80.0897129,Costume store,3.9,191,"Chennai, Tamil Nadu",086103 52041,"In-store pick-up,Delivery"
"LAKSHMI HOT PUFFS Perungalathur, Tamil Nadu",12.8910583,80.0701943,Bakery and Cake Shop,4.1,945,"Perungalathur, Tamil Nadu",099520 29993,"Dine-in,Takeaway"
"Gramathu Thinpandam Chennai, Tamil Nadu",12.9461735,80.2002185,Bakery and Cake Shop,4.8,17,"Chennai, Tamil Nadu",095511 11154,
"P.S. Pandian Home Needs Chennai, Tamil Nadu",12.9860245,80.1924392,General store,4.3,188,"Chennai, Tamil Nadu",090039 31865,
"Kumar Sweets Chennai, Tamil Nadu",13.0349237,80.1563029,Sweet shop,3.8,86,"Chennai, Tamil Nadu",095661 77539,Delivery
"Famous Lining Works Chennai, Tamil Nadu",12.928758,80.2016002,Helmet Shop,4.4,5,"Chennai, Tamil Nadu",099413 78008,
"Nalli Silk Sarees at Mylapore Chennai, Tamil Nadu",13.0376859,80.2649603,Clothing store,4.2,760,"Chennai, Tamil Nadu",080958 77789,"In-store shopping,In-store pick-up"
"Nakoda Thangamaligai Chennai, Tamil Nadu",12.9812895,80.1882149,Jewelry store,4.5,408,"Chennai, Tamil Nadu",,Delivery
"VASANTH & CO Chennai, Tamil Nadu",13.0843007,80.2704622,Appliance store,3.5,551,"Chennai, Tamil Nadu",,Delivery
"IMAYAM PACKAGES Chennai, Tamil Nadu",12.961442,80.1312985,Packaging company,4.8,294,"Chennai, Tamil Nadu",097905 97788,"On-site services,Online appointments"
"The Cake Smith Guduvancheri, Tamil Nadu",12.842998,80.05906,Bakery and Cake Shop,4.1,1300,"Guduvancheri, Tamil Nadu",086789 11234,"In-store pick-up,Delivery"
"Singapore shopping Plaza Guduvancheri, Tamil Nadu",12.8460441,80.0614849,Shoe store,5,1,"Guduvancheri, Tamil Nadu",,
"Avi Mart Thirunagar Colony, Tamil Nadu",11.3530478,77.725196,Grocery store,4.5,108,"Thirunagar Colony, Tamil Nadu",088259 66162,"In-store shopping,In-store pick-up"
"Nava Cakes Singaperumal Koil, Tamil Nadu",12.7615281,80.0028916,Cake shop,4.4,67,"Singaperumal Koil, Tamil Nadu",087603 39339,"Dine-in,Kerbside pickup"
"KPM Minerals & Tiles (Tile Dealers/Tiles Showroom/Granites/Marbles) Singaperumal Koil, Tamil Nadu",12.7654938,80.0336901,Tile store,4.4,76,"Singaperumal Koil, Tamil Nadu",098412 57250,"In-store shopping,Delivery"
"Cream and Fudge urapakkam Chennai, Tamil Nadu",12.8630082,80.0741322,Ice Cream,3.8,243,"Chennai, Tamil Nadu",099629 24009,"Dine-in,Takeaway"
"Sri Ganapathy Sweets & Bakery Chennai, Tamil Nadu",12.9065825,80.1439462,Bakery and Cake Shop,4.3,122,"Chennai, Tamil Nadu",,Delivery
"Sathya's Chennai, Tamil Nadu",12.9624426,80.160681,Appliance store,4.3,280,"Chennai, Tamil Nadu",098847 93010,
"Bismi Book Centre chrompet ( Radha nagar) Chennai, Tamil Nadu",12.9525838,80.1432631,Book store,4.3,149,"Chennai, Tamil Nadu",090949 58876,
"Shalimar Weaves Kodaikanal, Tamil Nadu",10.2353679,77.4921463,Clothing Accessories Store,4.2,72,"Kodaikanal, Tamil Nadu",094430 48807,"In-store shopping,Delivery"
"Native Famous Chennai, Tamil Nadu",12.9735055,80.1973917,Sweet shop,5,3,"Chennai, Tamil Nadu",099944 21116,
"Ayyanar Provisional Store Chennai, Tamil Nadu",13.0843007,80.2704622,General store,4.2,6,"Chennai, Tamil Nadu",,Delivery
"Backiyam store,Arockiyam store Chennai, Tamil Nadu",12.9192044,80.1134461,Store,5,3,"Chennai, Tamil Nadu",,
Dream Box - Home Made Cake Shop Tamil Nadu,12.8609264,80.0780563,Bakery and Cake Shop,5,234,Tamil Nadu,,
"Famous Bombay Kulfis Chennai, Tamil Nadu",12.9885856,80.1953443,Ice Cream,4,2,"Chennai, Tamil Nadu",063744 78929,
"FJ FAMOUS JIGARTHANDA Guduvancheri, Tamil Nadu",12.8445241,80.0600941,Ice Cream,,,"Guduvancheri, Tamil Nadu",093845 85463,
"Mall De Goa Penha de Franc, Goa",15.5258252,73.8271347,Shopping mall,4.2,30000,"Penha de Franc, Goa",0832 241 3010,
"Shenaz Shopping Centre Panaji, Goa",15.488092,73.81845,Supermarket,4,224,"Panaji, Goa",0832 564 9009,Delivery
"Palolem Market Canacona, Goa",15.0117994,74.021552,Market,4.3,537,"Canacona, Goa",,On-site services
"The Flame Store Candolim, Goa",15.5238242,73.7667709,Designer Clothing Store,4.3,198,"Candolim, Goa",086690 87239,"In-store shopping,In-store pick-up"
"Rangeela Goa Assagao, Goa",15.5968343,73.7855639,Clothing store,4.5,385,"Assagao, Goa",077967 04054,"In-store shopping,In-store pick-up"
M.M.C New Market Goa,15.2715854,73.9596776,Clothing store,3.7,6100,Goa,,On-site services
"Mario Gallery Carmona, Goa",15.2014393,73.9521249,Souvenir store,4.4,622,"Carmona, Goa",093714 67030,"In-store shopping,In-store pick-up"
"Bombay Bazar Panaji, Goa",15.4978656,73.8262921,Clothing store,3.7,1900,"Panaji, Goa",,Delivery
"AND Caculo Mall Panaji, Goa",15.4865613,73.8179472,Western apparel store,4.1,725,"Panaji, Goa",091759 44895,
"Shoppers Stop Penha de Franc, Goa",15.5253574,73.8273229,Clothing store,4.1,1000,"Penha de Franc, Goa",0832 240 8026,"In-store pick-up,Delivery"
"Feblix Madgaon, Goa",15.271161,73.9595868,Clothing store,3.9,1900,"Madgaon, Goa",,On-site services
